Type,Price,quantity,date
HOK9,1.8329,1,2019-01-15 16:56:58
HOK9,1.8329,1,2019-01-15 16:56:59
HOK9,1.8329,1,2019-01-15 16:57:00
HOK9,1.8329,1,2019-01-15 16:57:00
HOK9,1.8329,1,2019-01-15 16:57:02
HOK9,1.8329,1,2019-01-15 16:57:04
HOK9,1.8329,1,2019-01-15 16:57:06
HOK9,1.8329,1,2019-01-15 16:57:07
HOK9,1.8329,1,2019-01-15 16:57:08
HOK9,1.8329,1,2019-01-15 16:57:09
HOK9,1.8329,1,2019-01-15 16:57:10
HOK9,1.8329,1,2019-01-15 16:57:12
HOK9,1.8329,1,2019-01-15 16:57:12
HOK9,1.8329,1,2019-01-15 16:57:13
HOK9,1.8329,1,2019-01-15 16:57:13
HOK9,1.8329,1,2019-01-15 16:57:13
HOK9,1.8329,1,2019-01-15 16:57:13
HOK9,1.8329,1,2019-01-15 16:57:13
HOK9,1.8329,1,2019-01-15 16:57:13
HOK9,1.8329,1,2019-01-15 16:57:13
HOK9,1.8329,1,2019-01-15 16:57:23
HOK9,1.8329,1,2019-01-15 16:57:24
HOK9,1.8329,1,2019-01-15 16:57:24
HOK9,1.8329,1,2019-01-15 16:57:26
HOK9,1.8329,1,2019-01-15 16:57:27
HOK9,1.8329,1,2019-01-15 16:57:29
HOK9,1.8329,1,2019-01-15 16:57:30
HOK9,1.8329,1,2019-01-15 16:57:31
HOK9,1.8329,1,2019-01-15 16:57:32
HOK9,1.8329,1,2019-01-15 16:57:32
HOK9,1.8329,1,2019-01-15 16:57:34
HOK9,1.8329,1,2019-01-15 16:57:36
HOK9,1.8329,1,2019-01-15 16:57:36
HOK9,1.8329,1,2019-01-15 16:57:36
HOK9,1.8329,1,2019-01-15 16:57:39
HOK9,1.8329,1,2019-01-15 16:57:41
