Type,Price,quantity,date
YMH9,25910.0,1,2019-02-18 12:04:20
YMH9,25910.0,7,2019-02-18 12:04:21
YMH9,25910.0,7,2019-02-18 12:04:22
YMH9,25910.0,7,2019-02-18 12:04:23
YMH9,25910.0,3,2019-02-18 12:04:24
YMH9,25911.0,9,2019-02-18 12:04:26
YMH9,25911.0,4,2019-02-18 12:04:27
YMH9,25912.0,10,2019-02-18 12:04:28
YMH9,25913.0,7,2019-02-18 12:04:29
YMH9,25915.0,1,2019-02-18 12:04:31
YMH9,25917.0,10,2019-02-18 12:04:32
YMH9,25916.0,7,2019-02-18 12:04:32
YMH9,25916.0,9,2019-02-18 12:04:34
YMH9,25917.0,9,2019-02-18 12:04:35
YMH9,25919.0,10,2019-02-18 12:04:36
YMH9,25918.0,7,2019-02-18 12:04:37
YMH9,25920.0,4,2019-02-18 12:04:38
YMH9,25919.0,8,2019-02-18 12:04:39
YMH9,25919.0,6,2019-02-18 12:04:41
YMH9,25919.0,1,2019-02-18 12:04:42
YMH9,25916.0,5,2019-02-18 12:04:44
YMH9,25915.0,4,2019-02-18 12:04:45
YMH9,25912.0,5,2019-02-18 12:04:46
YMH9,25913.0,7,2019-02-18 12:04:48
YMH9,25914.0,4,2019-02-18 12:04:49
YMH9,25915.0,6,2019-02-18 12:04:49
YMH9,25909.0,6,2019-02-18 12:04:51
YMH9,25908.0,1,2019-02-18 12:04:52
YMH9,25910.0,8,2019-02-18 12:04:54
YMH9,25910.0,9,2019-02-18 12:04:55
YMH9,25909.0,1,2019-02-18 12:04:56
YMH9,25911.0,5,2019-02-18 12:04:57
YMH9,25910.0,3,2019-02-18 12:04:58
YMH9,25909.0,1,2019-02-18 12:04:59
YMH9,25908.0,6,2019-02-18 12:05:00
YMH9,25909.0,3,2019-02-18 12:05:02
YMH9,25910.0,7,2019-02-18 12:05:03
YMH9,25911.0,6,2019-02-18 12:05:04
YMH9,25911.0,9,2019-02-18 12:05:05
YMH9,25912.0,10,2019-02-18 12:05:06
YMH9,25912.0,6,2019-02-18 12:05:07
YMH9,25913.0,9,2019-02-18 12:05:08
YMH9,25912.0,2,2019-02-18 12:05:09
YMH9,25912.0,5,2019-02-18 12:05:10
YMH9,25910.0,7,2019-02-18 12:05:12
YMH9,25912.0,1,2019-02-18 12:05:13
YMH9,25911.0,1,2019-02-18 12:05:15
YMH9,25910.0,4,2019-02-18 12:05:16
YMH9,25910.0,8,2019-02-18 12:05:17
YMH9,25909.0,1,2019-02-18 12:05:18
YMH9,25910.0,9,2019-02-18 12:05:19
YMH9,25911.0,8,2019-02-18 12:05:21
YMH9,25912.0,1,2019-02-18 12:05:22
YMH9,25911.0,9,2019-02-18 12:05:24
YMH9,25912.0,2,2019-02-18 12:05:25
YMH9,25912.0,4,2019-02-18 12:05:28
YMH9,25914.0,4,2019-02-18 12:05:28
YMH9,25913.0,6,2019-02-18 12:05:30
YMH9,25912.0,8,2019-02-18 12:05:33
YMH9,25913.0,3,2019-02-18 12:05:34
YMH9,25912.0,3,2019-02-18 12:05:36
YMH9,25913.0,4,2019-02-18 12:05:37
YMH9,25913.0,10,2019-02-18 12:05:38
YMH9,25913.0,5,2019-02-18 12:05:40
YMH9,25911.0,5,2019-02-18 12:05:42
YMH9,25911.0,3,2019-02-18 12:05:43
YMH9,25911.0,4,2019-02-18 12:05:44
YMH9,25912.0,8,2019-02-18 12:05:45
YMH9,25911.0,9,2019-02-18 12:05:48
YMH9,25909.0,8,2019-02-18 12:05:50
YMH9,25910.0,4,2019-02-18 12:05:51
YMH9,25913.0,5,2019-02-18 12:05:52
YMH9,25912.0,7,2019-02-18 12:05:53
YMH9,25911.0,6,2019-02-18 12:05:54
YMH9,25910.0,7,2019-02-18 12:05:55
YMH9,25910.0,6,2019-02-18 12:05:56
YMH9,25908.0,5,2019-02-18 12:05:59
YMH9,25909.0,6,2019-02-18 12:05:59
