Type,Price,quantity,date
YMH9,25298.0,6,2019-02-15 16:01:58
YMH9,25298.0,6,2019-02-15 16:01:58
YMH9,25298.0,6,2019-02-15 16:01:58
YMH9,25298.0,6,2019-02-15 16:01:58
YMH9,25298.0,6,2019-02-15 16:01:58
YMH9,25298.0,6,2019-02-15 16:01:58
YMH9,25298.0,6,2019-02-15 16:01:58
YMH9,25298.0,6,2019-02-15 16:01:58
YMH9,25298.0,6,2019-02-15 16:01:58
YMH9,25298.0,6,2019-02-15 16:01:58
YMH9,25298.0,6,2019-02-15 16:01:58
YMH9,25300.0,5,2019-02-15 16:02:10
YMH9,25300.0,5,2019-02-15 16:02:10
YMH9,25300.0,5,2019-02-15 16:02:10
YMH9,25300.0,5,2019-02-15 16:02:10
YMH9,25300.0,5,2019-02-15 16:02:10
YMH9,25300.0,5,2019-02-15 16:02:10
YMH9,25300.0,5,2019-02-15 16:02:10
YMH9,25300.0,5,2019-02-15 16:02:10
YMH9,25304.0,6,2019-02-15 16:02:20
YMH9,25304.0,6,2019-02-15 16:02:20
YMH9,25304.0,6,2019-02-15 16:02:20
YMH9,25304.0,6,2019-02-15 16:02:20
YMH9,25304.0,6,2019-02-15 16:02:20
YMH9,25304.0,6,2019-02-15 16:02:20
YMH9,25304.0,6,2019-02-15 16:02:20
YMH9,25304.0,6,2019-02-15 16:02:20
YMH9,25304.0,6,2019-02-15 16:02:20
YMH9,25305.0,1,2019-02-15 16:02:30
YMH9,25305.0,1,2019-02-15 16:02:30
YMH9,25305.0,1,2019-02-15 16:02:30
YMH9,25305.0,1,2019-02-15 16:02:30
YMH9,25305.0,1,2019-02-15 16:02:30
YMH9,25305.0,1,2019-02-15 16:02:30
YMH9,25305.0,1,2019-02-15 16:02:30
YMH9,25305.0,1,2019-02-15 16:02:30
YMH9,25305.0,1,2019-02-15 16:02:30
YMH9,25312.0,10,2019-02-15 16:02:41
YMH9,25312.0,10,2019-02-15 16:02:41
YMH9,25312.0,10,2019-02-15 16:02:41
YMH9,25312.0,10,2019-02-15 16:02:41
YMH9,25312.0,10,2019-02-15 16:02:41
YMH9,25312.0,10,2019-02-15 16:02:41
YMH9,25312.0,10,2019-02-15 16:02:41
YMH9,25312.0,10,2019-02-15 16:02:41
YMH9,25312.0,10,2019-02-15 16:02:41
YMH9,25312.0,10,2019-02-15 16:02:41
YMH9,25312.0,10,2019-02-15 16:02:41
YMH9,25312.0,10,2019-02-15 16:02:41
YMH9,25312.0,10,2019-02-15 16:02:41
