9014442,58840968,USDCHF,1,add_order,2019-04-23 11:59:51.979855
9014442,58841083,USDCHF,2,add_order,2019-04-23 12:07:44.854979
9014442,58841084,USDCHF,3,add_order,2019-04-23 12:07:46.045315
9014442,58841086,USDCHF,5,add_order,2019-04-23 12:07:47.282933
9014442,58841087,USDCHF,9,add_order,2019-04-23 12:07:48.595024
9014442,"[[58841084, 3], [58841086, 5], [58841087, 9]]",10.0,close_order,2019-04-23 12:08:38.015859
9014442,"[[58841086, 5], [58841087, 9]]",10.0,close_order,2019-04-23 12:08:38.633193
9014442,"[[58841087, 9]]",10.0,close_order,2019-04-23 12:08:39.343956
9014442,[],10.0,close_order,2019-04-23 12:08:39.998251
9014442,58841270,USDCHF,1,add_order,2019-04-23 12:49:46.960208
9014442,58841271,USDCHF,3,add_order,2019-04-23 12:49:48.043858
9014442,58841272,USDCHF,3,add_order,2019-04-23 12:49:49.305972
9014442,58841273,USDCHF,3,add_order,2019-04-23 12:49:50.525660
9014442,58841274,USDCHF,1,add_order,2019-04-23 12:49:51.829678
9014442,"[[58841271, 3], [58841272, 3], [58841273, 3], [58841274, 1]]",5.0,close_order,2019-04-23 12:51:13.023070
9014442,"[[58841272, 3], [58841273, 3], [58841274, 1]]",5.0,close_order,2019-04-23 12:51:13.655883
9014442,"[[58841273, 3], [58841274, 1]]",5.0,close_order,2019-04-23 12:51:14.399135
9014442,"[[58841274, 1]]",5.0,close_order,2019-04-23 12:51:15.126892
9014442,[],5.0,close_order,2019-04-23 12:51:15.912644
9014442,58841473,USDCHF,1,add_order,2019-04-23 12:58:51.612065
9014442,58841475,USDCHF,1,add_order,2019-04-23 12:58:52.707265
9014442,58841476,USDCHF,3,add_order,2019-04-23 12:58:53.949383
9014442,58841478,USDCHF,2,add_order,2019-04-23 12:58:55.179988
9014442,58841479,USDCHF,3,add_order,2019-04-23 12:58:56.342629
9014442,"[[58841475, 1], [58841476, 3], [58841478, 2], [58841479, 3]]",5.0,close_order,2019-04-23 12:59:39.341120
9014442,"[[58841476, 3], [58841478, 2], [58841479, 3]]",5.0,close_order,2019-04-23 12:59:40.062891
9014442,"[[58841478, 2], [58841479, 3]]",5.0,close_order,2019-04-23 12:59:40.790640
9014442,"[[58841479, 3]]",5.0,close_order,2019-04-23 12:59:41.523420
9014442,[],5.0,close_order,2019-04-23 12:59:42.287180
9014442,58841519,USDCHF,1,add_order,2019-04-23 13:00:02.605961
