9013778,58651277,1.0,add_order
9013778,58657046,1.0,add_order
9013778,58657046,1.0,close_order
9013778,58659620,1.0,add_order
9013778,58659620,1.0,close_order
9013778,58660141,1.0,add_order
9013778,58660141,1.0,close_order
9013778,58660451,1.0,add_order
9013778,58660451,1.0,close_order
9013778,58660731,1.0,add_order
9013778,58660731,1.0,close_order
9013778,58661085,1.0,add_order
9013778,58661085,1.0,close_order
9013778,58662491,1.0,add_order
9013778,58662491,1.0,close_order
9013778,58662610,1.0,add_order
9013778,58662610,1.0,close_order
9013778,58662616,1.0,add_order
9013778,58662616,1.0,close_order
9013778,58662622,1.0,add_order
9013778,58662622,1.0,close_order
9013778,58662629,1.0,add_order
9013778,58662643,1.0,add_order
9013778,58662840,1.0,add_order
9013778,58662840,1.0,close_order
9013778,58662861,1.0,add_order
9013778,58662861,1.0,close_order
9013778,58663000,1.0,add_order,2019-04-10 14:31:38.651898
9013778,58663000,1.0,close_order,2019-04-10 14:31:45.214310
9013778,58663007,1.0,add_order,2019-04-10 14:31:57.001095
9013778,58663007,1.0,close_order,2019-04-10 14:32:06.776250
9013778,58663018,1.0,add_order,2019-04-10 14:32:41.298159
9013778,58663018,1.0,close_order,2019-04-10 14:34:33.678961
9013778,58663128,1.0,add_order,2019-04-10 14:44:06.938001
9013778,58663128,1.0,close_order,2019-04-10 14:44:20.087781
9013778,58663133,1.0,add_order,2019-04-10 14:44:27.911778
9013778,58663133,1.0,close_order,2019-04-10 14:44:46.482836
9013778,58663194,1.0,add_order,2019-04-10 14:48:52.508252
9013778,58663194,1.0,close_order,2019-04-10 14:49:25.956095
9013778,58663745,1.0,add_order,2019-04-10 15:17:18.822163
9013778,58663749,1.0,add_order,2019-04-10 15:17:27.443016
9013778,58663749,1.0,close_order,2019-04-10 15:17:35.564469
9013778,58663745,1.0,close_order,2019-04-10 15:17:45.342996
9013778,58663766,1.0,add_order,2019-04-10 15:17:50.256419
9013778,58663777,1.0,add_order,2019-04-10 15:18:11.228966
9013778,58663777,1.0,close_order,2019-04-10 15:18:26.586035
9013778,58663766,1.0,close_order,2019-04-10 15:18:34.889371
9013778,58663787,1.0,add_order,2019-04-10 15:18:42.736860
9013778,58663792,1.0,add_order,2019-04-10 15:18:52.170827
9013778,58663787,1.0,close_order,2019-04-10 15:19:22.837987
9013778,58663858,1.0,add_order,2019-04-10 15:19:27.913355
9013778,58663858,1.0,close_order,2019-04-10 15:19:38.546929
9013778,58663886,1.0,add_order,2019-04-10 15:19:50.353162
9013778,58663792,1.0,close_order,2019-04-10 15:20:01.752989
9013778,58663940,1.0,add_order,2019-04-10 15:21:44.668481
9013778,58663940,1.0,close_order,2019-04-10 15:21:57.179159
9013778,58665789,1.0,add_order,2019-04-10 16:28:10.851434
9013778,58665789,1.0,close_order,2019-04-10 16:29:38.607715
9013778,58665835,1.0,add_order,2019-04-10 16:29:45.046649
9013778,58665835,1.0,close_order,2019-04-10 16:30:28.703692
9013778,58666481,1.0,add_order,2019-04-10 16:52:58.991391
9013778,58666491,1.0,add_order,2019-04-10 16:53:20.785408
9013778,58666491,1.0,close_order,2019-04-10 16:53:35.431377
9013778,58666481,1.0,close_order,2019-04-10 16:53:49.740246
9013778,58666814,1.0,add_order,2019-04-10 17:13:40.372853
9013778,58666821,1.0,add_order,2019-04-10 17:13:48.001502
9013778,58666814,1.0,close_order,2019-04-10 17:13:51.280453
9013778,58666821,1.0,close_order,2019-04-10 17:13:56.140899
9013778,58666840,1.0,add_order,2019-04-10 17:15:42.642926
9013778,58666845,1.0,add_order,2019-04-10 17:15:52.595244
9013778,58666845,1.0,close_order,2019-04-10 17:16:01.842657
9013778,58666840,1.0,close_order,2019-04-10 17:16:11.918932
9013778,58667434,1.0,add_order,2019-04-10 18:01:00.801195
9013778,58667448,1.0,add_order,2019-04-10 18:01:26.778904
9013778,58667451,1.0,add_order,2019-04-10 18:01:30.770635
9013778,58667454,1.0,add_order,2019-04-10 18:01:32.965892
9013778,58667457,1.0,add_order,2019-04-10 18:01:34.658351
9013778,58667434,1.0,close_order,2019-04-10 18:02:08.912347
9013778,58667454,1.0,close_order,2019-04-10 18:02:13.548848
9013778,58667451,1.0,close_order,2019-04-10 18:02:15.301292
9013778,58667448,1.0,close_order,2019-04-10 18:02:16.195006
9013778,58667457,1.0,close_order,2019-04-10 18:02:17.175687
9013778,58668223,1.0,add_order,2019-04-10 19:09:16.399654
9013778,58668223,1.0,close_order,2019-04-10 19:09:22.279276
9013778,58669595,1.0,add_order,2019-04-10 20:04:40.382626
9013778,58669598,1.0,add_order,2019-04-10 20:04:44.077440
9013778,58669598,1.0,close_order,2019-04-10 20:04:48.458052
9013778,58669595,1.0,close_order,2019-04-10 20:04:51.631019
9013778,58669609,1.0,add_order,2019-04-10 20:04:53.873316
9013778,58669613,1.0,add_order,2019-04-10 20:04:58.638771
9013778,58669613,1.0,close_order,2019-04-10 20:05:02.946388
9013778,58669609,1.0,close_order,2019-04-10 20:05:06.761776
9013778,58669627,1.0,add_order,2019-04-10 20:05:09.699344
9013778,58669627,1.0,close_order,2019-04-10 20:05:13.854270
9013778,58669636,1.0,add_order,2019-04-10 20:05:16.506415
9013778,58669640,1.0,add_order,2019-04-10 20:05:19.688904
9013778,58669642,1.0,add_order,2019-04-10 20:05:20.868725
9013778,58669636,1.0,close_order,2019-04-10 20:05:24.105200
9013778,58669640,1.0,close_order,2019-04-10 20:05:28.263863
9013778,58669642,1.0,close_order,2019-04-10 20:05:31.100956
9013778,58690609,1.0,add_order,2019-04-11 14:30:44.310319
9013778,58690609,1.0,close_order,2019-04-11 14:33:28.784050
9013778,58690713,1.0,add_order,2019-04-11 14:44:08.526181
